path	classification	evidence
dd-compositor/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/main.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/tests/client_roundtrip.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/composition.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/dmabuf_present.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/dmabuf_v4_feedback.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/modern_protocols.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/popup_placement.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/robustness.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/scale_outputs.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-compositor/tests/text_input.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-display/build.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/examples/live_geometry_popup.rs	VERIFY_REMOVE	unowned historical/manual path; migrate unique behavior first
dd-display/examples/render_pattern.rs	VERIFY_OWNER	manually invoked Cargo/script entrypoint; require documented owner
dd-display/src/keymap.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/mach_bridge.c	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/main.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/metal.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/metal_backend.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/present.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/present_cocoa.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/selftest.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/src/server.rs	KEEP_LEGACY_LIVE	default compositor until Smithay cutover
dd-display/src/wire.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-display/tests/golden/images/chrome-offscreen-fbo.png	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/golden/images/chrome-orientation.png	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/golden/images/chrome-solid-quads.png	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/golden/images/chrome-textured-glyph.png	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/golden_image_regression.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/metal_backend_validation.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/metal_blend.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/metal_chrome_ir_regression.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/metal_render_texture.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-display/tests/metal_texture_copy_blit.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-gpu-wgpu/examples/iosurface_interop.rs	VERIFY_OWNER	manually invoked Cargo/script entrypoint; require documented owner
dd-gpu-wgpu/examples/verify_ir.rs	VERIFY_OWNER	manually invoked Cargo/script entrypoint; require documented owner
dd-gpu-wgpu/src/backend.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu-wgpu/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu-wgpu/src/shader.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu-wgpu/tests/cuda_compute.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/cuda_reduce.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/spirv_compute.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/spirv_triangle.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/strict_shader_failure.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/texture_copy_blit.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/vk_compute.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/vk_present.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu-wgpu/tests/vk_triangle.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-gpu/cuda/.gitignore	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/build.sh	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/cuda_min.h	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/cuda_shim.c	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/cudart_min.h	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/cudart_shim.c	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/fatbin.h	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/libcuda.map	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/libcudart.map	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/test_cuda.c	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/cuda/test_cudart.c	KEEP_MIGRATE_ORACLE	Rust shim still derives ABI/parity from C oracle
dd-gpu/examples/dump_ir.rs	VERIFY_OWNER	generic IR diagnostic with no maintained caller
dd-gpu/examples/replay_ir_sweep.rs	VERIFY_REMOVE	unowned historical/manual path; migrate unique behavior first
dd-gpu/examples/trim_ir.rs	VERIFY_OWNER	generic IR diagnostic with no maintained caller
dd-gpu/nvml/.gitignore	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/nvml/build.sh	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/nvml/nvml_min.h	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/nvml/nvml_shim.c	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/nvml/test_nvml.c	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/backend.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/cuda.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/id.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/integration.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/ir.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/limits.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/mock.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/ptx.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/replay.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/ring.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/software.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/src/wire.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-gpu/tests/capability_handshake.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu/tests/frame_validation.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu/tests/software_validation.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu/tests/texture_copy_blit_ir.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-gpu/tests/texture_resolve_ir.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-images/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-images/examples/pull_image.rs	VERIFY_OWNER	manually invoked Cargo/script entrypoint; require documented owner
dd-images/src/build/cache.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/build/dockerfile.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/build/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/error.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/arch.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/archive/import.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/archive/load.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/archive/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/archive/save.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/config.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/digest.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/discovery/env.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/discovery/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/discovery/pipeline.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/discovery/sniff.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/local_image.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/manifest.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/image/store.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/client/auth.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/client/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/client/pull.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/client/push.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/credentials.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/events.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/http/archive.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/http/curl.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/http/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/http/util.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/http/verbs.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/layer.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-images/src/registry/reference.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-common/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-shim-common/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-common/src/transport.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-shim-cuda/build.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/registry/cuda_driver.manifest	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/registry/extract_cuda_manifest.py	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/capability.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/driver.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/result.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/state.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/src/stub.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cuda/tests/compute.c	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-cuda/tests/smoke.c	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-cudart/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-shim-cudart/build.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/registry/cudart.manifest	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/registry/extract_cudart_manifest.py	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/capability.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/fatbin.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/result.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/runtime.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/state.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/src/stub.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-cudart/tests/compute.c	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-gl/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-shim-gl/build.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/deploy.sh	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/registry/extract_from_khronos.py	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/registry/gles2_egl.manifest	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/egl.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/frame.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/glconst.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/gles.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/lower.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/state.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/stub.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/tiletrace.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/translate.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/wayland.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/src/wireenc.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-gl/tests/context_model.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-gl/tests/pixel_parity.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-gl/tests/semantic_gates.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-gl/tests/translate_parity.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-gl/tests/truthful_failures.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-vk/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-shim-vk/build.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/icd.json	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/registry/extract_vk_manifest.py	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/registry/extract_vk_origins.py	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/registry/vk_command_origins.manifest	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/registry/vk_commands.manifest	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/capability.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/command.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/descriptor.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/device.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/handle.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/icd.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/instance.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/ir_seam.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/lib.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/memory.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/pipeline.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/reg.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/state.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/stub.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/types.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/wl_present.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/src/wsi.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-shim-vk/tests/robust_buffer_features.rs	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
dd-shim-vk/tests/smoke.c	KEEP_BEHAVIOR_TEST	executed or platform-gated behavioral coverage
docs/AGENTS.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/ENGINE.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/GOLDEN_HARNESS.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/VPN.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/codex-rendering.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/goal.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rebrand/README.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rebrand/dd-cli-daemon-inventory.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rebrand/dd-gpu-frontend-inventory.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rebrand/dd-jit-inventory.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/CHROME-FIX-PLAN.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/README.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/SHIM_GL_COMPLETENESS.md	VERIFY_CONDENSE	hand-maintained history duplicates generated capability census
docs/rendering/SHIM_RUST_ARCHITECTURE.md	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/chromium-workspace-repro.sh	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/gtk4-workspace-repro.sh	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
docs/rendering/vulkan-workspace-repro.sh	KEEP_DOCUMENTATION	current referenced documentation or reproduction recipe
nix/flake.lock	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
nix/flake.nix	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
run_golden.sh	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
rust-toolchain.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
tools/dev.sh	VERIFY_OWNER	manually invoked Cargo/script entrypoint; require documented owner
website/.nojekyll	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/SCREENCAST.md	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/app-home.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/apple-touch-icon.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-docker-poster.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-docker.gif	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-inside-poster.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-inside.gif	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-run-poster.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/dd-run.gif	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/demo.tape	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/favicon-64.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/favicon.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/gen_demo.py	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/logo.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/assets/logo@2x.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/blog/containers-should-be-processes.html	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/blog/index.html	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/index.html	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
website/roadmap.html	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
