# arm64	x86_64	name
214	12	brk
215	11	munmap
216	25	mremap
217	248	add_key
218	249	request_key
219	250	keyctl
220	56	clone
221	59	execve
222	9	mmap
223	221	fadvise64
224	167	swapon
225	168	swapoff
226	10	mprotect
227	26	msync
228	149	mlock
229	150	munlock
230	151	mlockall
231	152	munlockall
232	27	mincore
233	28	madvise
234	216	remap_file_pages
235	237	mbind
236	239	get_mempolicy
237	238	set_mempolicy
238	256	migrate_pages
239	279	move_pages
240	297	rt_tgsigqueueinfo
241	298	perf_event_open
242	288	accept4
243	299	recvmmsg
260	61	wait4
261	302	prlimit64
262	300	fanotify_init
263	301	fanotify_mark
264	303	name_to_handle_at
265	304	open_by_handle_at
266	305	clock_adjtime
267	306	syncfs
268	308	setns
269	307	sendmmsg
270	310	process_vm_readv
271	311	process_vm_writev
272	312	kcmp
273	313	finit_module
274	314	sched_setattr
275	315	sched_getattr
276	316	renameat2
277	317	seccomp
278	318	getrandom
279	319	memfd_create
280	321	bpf
281	322	execveat
282	323	userfaultfd
283	324	membarrier
284	325	mlock2
285	326	copy_file_range
286	327	preadv2
287	328	pwritev2
288	329	pkey_mprotect
289	330	pkey_alloc
290	331	pkey_free
291	332	statx
292	333	io_pgetevents
293	334	rseq
294	320	kexec_file_load
424	424	pidfd_send_signal
425	425	io_uring_setup
426	426	io_uring_enter
427	427	io_uring_register
428	428	open_tree
429	429	move_mount
430	430	fsopen
431	431	fsconfig
432	432	fsmount
433	433	fspick
434	434	pidfd_open
435	435	clone3
436	436	close_range
437	437	openat2
438	438	pidfd_getfd
439	439	faccessat2
440	440	process_madvise
441	441	epoll_pwait2
442	442	mount_setattr
443	443	quotactl_fd
444	444	landlock_create_ruleset
445	445	landlock_add_rule
446	446	landlock_restrict_self
447	447	memfd_secret
448	448	process_mrelease
449	449	futex_waitv
450	450	set_mempolicy_home_node
451	451	cachestat
452	452	fchmodat2
453	453	map_shadow_stack
454	454	futex_wake
455	455	futex_wait
456	456	futex_requeue
457	457	statmount
458	458	listmount
459	459	lsm_get_self_attr
460	460	lsm_set_self_attr
461	461	lsm_list_modules
462	462	mseal
463	463	setxattrat
464	464	getxattrat
465	465	listxattrat
466	466	removexattrat
467	467	open_tree_attr
468	468	file_getattr
469	469	file_setattr
470	470	listns
471	471	rseq_slice_yield
